bee_sp,bee_common,name_change,picture_address,original_file_name,content_creator,license,license_link,Wikipedia,Canada_bee,Wikipedia_common,Canada_bee_common
"Adela
septentrionella",Fairy longhorn moth,,Adela_septentrionella.JPG,"""File:Adela septentrionella 02.jpg""","CBG Photography Group, Centre for Biodiversity Genomics ",CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Adela_septentrionella,N/A,https://en.wikipedia.org/wiki/Adela_(moth),N/A
"Agapostemon
texanus",Metallic green sweat bee,,Agapostemon_texanus.JPG,"""Sweat bee, male Texas Agapostemon (Halictidae, Agapostemon texanus (Cresson))""", insectsunlocked ,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Agapostemon_texanus,"http://www.beesofcanada.com/species/agapostemon-texanus-cresson,-1872",https://en.wikipedia.org/wiki/Agapostemon,"http://www.beesofcanada.com/species/agapostemon-texanus-cresson,-1872"
"Agapostemon
virescens",Metallic green sweat bee,,Agapostemon_virescens.JPG,"""Agapostemon_virescens.JPG""", Sarah Johnson,N/A,N/A,https://en.wikipedia.org/wiki/Agapostemon_virescens,"http://www.beesofcanada.com/species/agapostemon-virescens-(fabricius,-1775)",https://en.wikipedia.org/wiki/Agapostemon,"http://www.beesofcanada.com/species/agapostemon-virescens-(fabricius,-1775)"
"Andrena
aff. nasonii",Mining bee,,Andrena_nasonii.JPG,"""Andrena nasonii, F, side, New York, Kings County_2013-02-07-14.17.02 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Andrena_nasonii,http://www.beesofcanada.com/species/andrena-nasonii,https://en.wikipedia.org/wiki/Andrena,http://www.beesofcanada.com/species/andrena-nasonii
"Andrena
amphibola",Mining bee,,Andrena_sp.JPG,"""Mining Bee""",treegrow,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Andrena_amphibola,"http://www.beesofcanada.com/species/andrena-amphibola-(viereck,-1904)",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-amphibola-(viereck,-1904)"
"Andrena
angustella",Mining bee,,Andrena_sp.JPG,"""Mining Bee""",treegrow,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Andrena_angustella,N/A,https://en.wikipedia.org/wiki/Andrena,N/A
"Andrena
angustitarsata",Mining bee,,Andrena_sp.JPG,"""Mining Bee""",treegrow,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Andrena_angustitarsata,"http://www.beesofcanada.com/species/andrena-angustitarsata-viereck,-1904",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-angustitarsata-viereck,-1904"
"Andrena
anisochlora",Mining bee,,Andrena_sp.JPG,"""Mining Bee""",treegrow,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Andrena_anisochlora,"http://www.beesofcanada.com/species/andrena-anisochlora-cockerell,-1936",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-anisochlora-cockerell,-1936"
"Andrena
astragali",Mining bee,,Andrena_astragali.JPG,"""Andrena astragali, female, side_2012-08-06-16.17.29 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Andrena_astragali,"http://www.beesofcanada.com/species/andrena-astragali-viereck-and-cockerell,-1914",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-astragali-viereck-and-cockerell,-1914"
"Andrena
auricoma",Mining bee,,Andrena_sp.JPG,"""Mining Bee""",treegrow,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Andrena_auricoma,"http://www.beesofcanada.com/species/andrena-auricoma-smith,-1879",https://en.wikipedia.org/wiki/Andrena,"http://www.beesofcanada.com/species/andrena-auricoma-smith,-1879"
