common_names_plants,
plant_sp,common name
Abelia,Abelia
Achillea,Yarrows
Achlys,Vanilla leaf
Aegopodium,Ground elder
Agoseris,Spearleaf mountain dandelion
Ajuga,Bugleweed
Allium,Onion
Amelanchier,Saskatoon
Anaphalis,Everlastings
Anenome,Anenome
Antennaria,Pussytoes
Anthemis,Chamomiles
Antirrhinum,Snapdragons
Aquilegia,Columbine
Arabis,Rockcress
Arbutus,Madrones
Arctica,Greater burdock
Arctostaphylos,Manzanitas
Aster,Aster
Astragalus,Milkvetch
Aurinia,Aurinia
Bacopa,Waterhyssop
Balsamorhiza,Balsamroots
Barbarea,Winter cress
Bellis,Common daisy
Borago,Starflower
Brassica,Mustards
Brodiaea,Harvest Brodiaea
Buddleja,Butterfly bush
Cakile,Searockets
Calendula,Pot marigold
Calochortus,Mariposa lily
Camassia,Camases
Campanula,Bellflowers
Capsella,Shepherd's purse
Cardamine,Bittercresses
Carduus,Plumeless thistles
Castilleja,Indian paintbrush
Ceanothus,California lilacs
Centaurea,Knapweeds
Centranthus,Red valerian
Cerastium,Mouse-ears
Cerinthe,Honeyworts
Chamerion,Fireweed
Choisya,Mexican orange
Cichorium,Chicory
Cirsium,Thistle
Cistus,Rockroses
Clarkia,Clarkia
Claytonia,Miner's lettuce
Clematis,Virgin's bower
Cleome,Spider flowers
Collinsia,Blue-eyed marys
Convolvulus,Hedge bindweed
Coreopsis,Tickseed
Coriandrum,Coriander
Cornus,Dogwood
Coronilla,Crownvetch
Cosmos,Cosmos
Cotinus,Smoke tree
Cotoneaster,Cotoneaster
Crataegus,Hawthorn
Crepis,Hawksbeard
Cytisus,Brooms
Dahlia,Dahlia
Daphne,Daphne
Daucus,Wild carrot
Delphinium,Larkspur
Dianthus,Pink
Dicentra,Bleeding-heart
Dichelostemma,Wild hyacinths
Digitalis,Foxgloves
Dodecatheon,Shooting star
Doronicum,Leopard's-banes
Echinacea,Coneflower
Echinops,Globe thistle
Elaeagnus,Silverberry
Epilobium,Willowherbs
Erica,Heather
Erigeron,Fleabane
Eriogonum,Wild buckwheats
Eriophyllum,Woolly sunflower
Erodium,Stork's-Bills
Eryngium,Eryngos
Erysimum,Wallflowers
Erythronium,Fawn lilies
Escallonia,Redclaws
Eschscholzia,Poppy
Euonymus,Spindle tree
Foeniculum,Fennel
Fragaria,Strawberries
Fritillaria,Frillary
Fuschia,Fuschia
Gaillardia,Blanket flowers
Galeopsis,Hemp-nettle
Galium,Northern bedstraw
Gaultheria,Salal
Geranium,Crane's-bill
Geum,Avens
Gilia,Bird's-eyes
Grindelia,Gumweed
Hebe,Shrubby veronica
