common_names_pol,
Genus,Common name
Adela,Fairy longhorn moth
Agapostemon,Metallic green sweat bee
Andrena,Mining bee
Anthaxia,Metallic wood boring beetles
Anthidium,Carder bees
Anthophora,Digger bees
Apis,Honey bee
Bembix,Sand wasps
Bombus,Bumble bees
Bombylius,Greater bee flies
Calliphora,Blow flies
Calypte,Hummingbirds
Ceratina,Small carpenter bees
Cheilosia,Hoverfly
Chrysotoxum,Coloured hoverfly
Coelioxys,Leafcutter cuckoo bees
Colletes,Plasterer bees
Conophorus,Lesser bee flies
Cortodera,Longhorn beetle
Dianthidium,Resin bee
Dolichovespula,Yellowjackets
Dufourea,Sweat bees
Epalpus,Tachinid flies
Epeolus,Variegated cuckoo-bees
Eriozona,Hoverflies
Eristalis,Droneflies
Erynnis,Duskywings
Eucera,Long-horned bees
Eumerus,Hoverflies
Eupeodes,Hoverflies
Gymnosoma,Tachinid flies
Habropoda,Mountain-diggers
Halictus,Sweat bees
Helophilus,Large hoverflies
Heriades,Small black resin bees
Hoplitis,Hoplitis bees
Hylaeus,Masked bees
Lasioglossum,Sweat bees
Leptura,Longhorn beetle
Lucilia,Green bottle flies
Megachile,Leafcutter bees
Melanostoma,Hoverflies
Melecta,Digger-cuckoo bees
Meliscaeva,Hoverflies
Melissodes,Long-horned bees
Merodon,Bulb fly
Mischocyttarus,Mischocyttarus wasps
Neorhynchocephalus,Tangle-veined flies
Osmia,Mason bees
Panurginus,Small mining bees
Perdita,Fairy bees
Pieris,Cabbage butterfly
Platycheirus,Hoverflies
Polistes,Paper wasp
Protosmia,Protosmia bees
Rhynchites,Leaf and bud weevils
Scaeva,Hoverflies
Sphaerophoria,Hoverflies
Stelis,Carder cuckoo bee 
Syritta,Hoverflies
Syrphidae,Hoverflies
Syrphus,Hoverflies
Thymelicus,Skipper butterfly
Toxomerus,Hoverflies
Trichodes,Checkered beetles
Vespula,Yellowjackets 
Volucella,Bumblebee hoverfly
