insect_sp,n,insect_order,cpf,social,nest_location,larval_diet,insect_guild,native,notes
Apis mellifera,4171,Hymenoptera,cpf_yes,social_yes,above,pollenivore,apidae,non-native,
Bombus mixtus,2731,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,native,
Bombus flavifrons,1365,Hymenoptera,cpf_yes,social_yes,below,pollenivore,apidae,native,
Bombus vosnesenskii,1252,Hymenoptera,cpf_yes,social_yes,below,pollenivore,apidae,native,
Bombus melanopygus,1184,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,native,
Bombus bifarius,1123,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,native,
Lasioglossum olympiae,1073,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,native,
Lasioglossum villosulum,987,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,native,
Andrena angustitarsata,729,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,native,
Ceratina acantha,676,Hymenoptera,cpf_yes,social_no,above,pollenivore,apidae,native,
Osmia lignaria,580,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,native,
Halictus rubicundus,574,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,native,
Volucella bombylans,570,Diptera,cpf_no,social_no,above,detritivore,syrphidae,,
Bombylius major,551,Diptera,cpf_no,social_no,below,parasite,bombyliidae,native,
Bombus californicus,485,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,native,
Andrena nigrocaerulea,415,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,native,
Lasioglossum zonulum,394,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,non-native,
Halictus confusus,292,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,native,
Andrena salicifloris,277,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Empididae,275,Diptera,cpf_no,social_no,various,various,otherfly,native,
Lasioglossum titusi,274,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,,
Lasioglossum knereri,241,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Andrena saccata,231,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Merodon equestris,227,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Toxomerus occidentalis,222,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sphaerophoria sulphuripes,205,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Toxomerus marginatus,201,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Lasioglossum cressonii,198,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Lasioglossum incompletum,183,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Lasioglossum sp. 6,180,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Lasioglossum pacatum,176,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
