plant_sp,plant_native,init_invasive,,comments,plant_invasive
Mahonia aquifolium,native,Non-invasive ,,,Non-invasive 
Sanicula crassicaulis,native,Non-invasive,,,Non-invasive
Ranunculus occidentalis,native,Non-invasive,,,Non-invasive
Arctostaphylos uva-ursi,native,Non-invasive,,,Non-invasive
Collinsia parviflora,native,Non-invasive,,,Non-invasive
Lomatium utriculatum,native,Non-invasive,,,Non-invasive
Fragaria virginiana,native,Non-invasive,,,Non-invasive
Camassia quamash,native,Non-invasive,,,Non-invasive
Delphinium menziesii,native,Non-invasive,,,Non-invasive
Rubus ursinus,native,Non-invasive,,,Non-invasive
Symphoricarpos albus,native,Non-invasive,,,Non-invasive
Rosa gymnocarpa,native,Non-invasive,,,Non-invasive
Hypochaeris radicata,non-native,Invasive,,,Invasive
Prunella vulgaris,some native,Non-invasive,,Some people disagree.  In Pojar and MacKinnon they say it's both native and non-native.  I think your answer is fine but it might be worth just a bit mor e digging.,Non-invasive
Allium acuminatum,native,Non-invasive,,,Non-invasive
Allium cernuum,native,Non-invasive,,,Non-invasive
Achillea millefolium,native,Non-invasive,,,Non-invasive
Hypericum perforatum,non-native,Invasive,,,Invasive
Holodiscus discolor,native,Non-invasive,,,Non-invasive
Plectritis congesta,native,Non-invasive,,,Non-invasive
Mimulus alsinoides,native,Non-invasive,,,Non-invasive
Mimulus guttatus,native,Non-invasive,,,Non-invasive
Cytisus scoparius,non-native,Invasive,,,Invasive
Minuartia tenella,native,Non-invasive,,,Non-invasive
Montia parvifolia,native,Non-invasive,,,Non-invasive
Lomatium nudicaule,native,Non-invasive,,,Non-invasive
Lupinus arcticus,native,Non-invasive,,,Non-invasive
Rosa nutkana,native,Non-invasive,,,Non-invasive
Zygadenus venenosus,native,Non-invasive,,,Non-invasive
Eriophyllum lanatum,native,Non-invasive,,,Non-invasive
Brodiaea hyacinthina,native,Non-invasive,,,Non-invasive
Leucanthemum vulgare,non-native,Invasive,,,Invasive
