plant_sp,plant_common,New_genus,Wikipedia,pacific north west consortium,Wikipedia_common,pacific north west consortium_common,Invasive_non_invasive,Drought_tolerant,Hardinesss_zone
Abelia,Abelia,,https://en.wikipedia.org/wiki/Linnaea_%C3%97_grandiflora,https://www.pnwherbaria.org/data/results.php?ExcludeCultivated=Y&SearchAllHerbaria=Y&QueryCount=1&IncludeSynonyms1=Y&Genus1=Abelia&Zoom=4&Lat=55&Lng=-135&PolygonCount=0&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC,https://en.wikipedia.org/wiki/Abelia,https://www.pnwherbaria.org/data/results.php?ExcludeCultivated=Y&SearchAllHerbaria=Y&QueryCount=1&IncludeSynonyms1=Y&Genus1=Abelia&Zoom=4&Lat=55&Lng=-135&PolygonCount=0&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC,Non-invasive,,
Achillea,Yarrows,,https://en.wikipedia.org/wiki/Achillea,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Achillea&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Achillea_millefolium,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Achillea&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Certain species,,
"Achillea
millefolium",Yarrows,,https://en.wikipedia.org/wiki/Achillea_millefolium,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Achillea&Species1=millefolium&IncludeSynonyms1=Y&Country1=Canada&State1=BC&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Achillea_millefolium,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Achillea&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,Dry-fresh,Zone 3
"Agoseris
sp.",Spearleaf mountain dandelion,,https://en.wikipedia.org/wiki/Agoseris,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Agoseris&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Agoseris_retrorsa,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Agoseris&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Allium
acuminatum",Onion,,https://en.wikipedia.org/wiki/Allium_acuminatum,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&Species1=acuminatum&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Onion,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Allium
aflatuense",Onion,Allium aflatunense,https://en.wikipedia.org/wiki/Allium_aflatunense,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&Species1=aflatunense&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Onion,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Allium
amplectens",Onion,,https://en.wikipedia.org/wiki/Allium_amplectens,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&Species1=amplectens&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Onion,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Allium
cernuum",Onion,,https://en.wikipedia.org/wiki/Allium_cernuum,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&Species1=cernuum&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Onion,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,Dry-fresh,Zone 3
"Allium
molle",Onion,,https://en.wikipedia.org/wiki/Onion,N/A,https://en.wikipedia.org/wiki/Onion,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,No canada data,,
"Allium
sativum",Onion,,https://en.wikipedia.org/wiki/Garlic,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&Species1=sativum&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Onion,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Allium&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Invasive,,
