New LocID_new,New LocID,Location_Desc,Location_Name,StateCoID,TRS,Details,Elev,Meters?,NS,EW,DecimalLat,DecimalLon,Degree Lat,Degree Lon,UTMZone,UTMEW,UTMNS,LocMeth,DateStamp,LocID,Notes,Biotic Prov,Habitat,Jurisdiction,ProjectID,ProjLoc,Plot,GeoRef
1,-123456788,"Knockan Hill Park, Saanich","KN",3.1490000000000000e+03,,,,0,,,"48.469772 N","-123.418017 W","48° 28' 13""N","123° 25' 3""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
2,-123456789,"Mill Hill Regional Park, Victoria CRD","MH",3.1490000000000000e+03,,,,0,,,"48.457209 N","-123.478287 W","48° 27' 15""N","123° 28' 53""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
3,-123456790,"Little Saanich Mountain, NRCan","LSM",3.1490000000000000e+03,,,,0,,,"48.520446 N","-123.420315 W","48° 31' 06""N","123° 24' 55""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
4,-123456791,"Bear Hill Regional Park, Victoria CRD","BH",3.1490000000000000e+03,,,,0,,,"48.545605 N","-123.406769 W","48° 32' 45""N","123° 24' 34""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
5,-123456792,"Mount Tolmie Park, Saanich","MT",3.1490000000000000e+03,,,,0,,,"48.457084 N","-123.322216 W","48° 27' 23""N","123° 19' 25""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
6,-123456793,"Mount Douglas Park, Saanich","MD",3.1490000000000000e+03,,,,0,,,"48.492087 N","-123.344527 W","48° 29' 34""N","123° 20' 46""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
9,-123456795,"Camrose Park, Saanich","CP",3.1490000000000000e+03,,,,0,,,"48.453746 N","-123.351725 W",,,,,,,"08/13/07 16:32:00",,,,,,,,0,
10,-123456796,"Summit Park, Victoria","SU",3.1490000000000000e+03,,,,0,,,"48.445815 N","-123.354109 W","48 °26' 39""N","123° 21' 13""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
11,-123456797,"Cedar Hill Park, Saanich","CH",3.1490000000000000e+03,,,,0,,,"48.458103 N","-123.347128 W","48° 27' 30""N","123° 20' 49""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
12,-123456798,"Highway right-of way, Saanich","TI",3.1490000000000000e+03,,,,0,,,"48.454974 N","-123.370991 W",,,,,,,"08/13/07 16:32:00",,,,,,,,0,
13,-123456799,"Christmas Hill Nature Sanctuary, Saanich","XH",3.1490000000000000e+03,,,,0,,,"48.473790 N","-123.376587 W","48° 28' 26""N","123° 22' 29""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
14,-123456800,"Gonzales Hill Park, Victoria CRD","GH",3.1490000000000000e+03,,,,0,,,"48.421142 N","-123.325838 W","48° 24' 51""N","123° 19' 25""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
15,-123456801,"Beacon Hill Park, Victoria","BC",3.1490000000000000e+03,,,,0,,,"48.409715 N","-123.362835 W","48° 24' 37""N","123° 21' 43""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
16,-123456802,"Uplands Park, Oak Bay","UP",3.1490000000000000e+03,,,,0,,,"48.442200 N","-123.298318 W","48° 26' 25""N","123° 17' 48""W",,,,,"08/13/07 16:32:00",,,,,,,,0,
17,-123456803,"Costain Green, Oak Bay","CG",3.1490000000000000e+03,,,,0,,,"48.452754 N","-123.301117 W",,,,,,,"08/13/07 16:32:00",,,,,,,,0,
18,-1093863760,"Cowichan Garry Oak Preserve nr. Duncan","GO",3.1490000000000000e+03,,,,0,,,"48.808556N","-123.631250W","48° 48’ 30.8” N","123° 37’ 52.5”W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
19,-341213967,"Thetis Lake Regional Park, nr. Victoria","TL",3.1490000000000000e+03,,,,0,,,"48.466917N","-123.466278W","48° 28’ 00.9”N","123° 27’ 58.6”W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
20,-95716258,"Stoltz Meadows, ~ 15 km E Lake Cowichan","SM",3.1490000000000000e+03,,,,0,,,"48.781667N","-123.885250W","48° 46’ 54.0”N","123° 53’ 06.9”W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
21,-1837019001,"Cowichan River Provincial Park, Lake Cowichan","CR",3.1490000000000000e+03,,,,0,,,"48.777500N","-123.941722W","48° 46’ 39.0”N","123° 56’ 30.2”W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
22,-1378586180,"Elk Falls Provincial Park, Campbell River","EF",3.1490000000000000e+03,,,,0,,,"50.043028N","-125.325556W","50° 02’ 34.9”N","125° 19’ 32.0”W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
23,797369869,"Sooke Potholes Provincial Park, Sooke","SP",3.1490000000000000e+03,,,,0,,,"48.428972N","-123.711361W","48° 25’ 44.3”N","123° 42’ 40.9W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
24,-1884938678,"Highrock (Cairn) Park, Esquimalt","HC",3.1490000000000000e+03,,,,0,,,"48.435778N","-123.406917W","48° 26’ 08.8”N","123° 24’ 24.9”W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
25,535416579,"Konukson Park, Saanich","KP",3.1490000000000000e+03,,,,0,,,"48.790500N","-123.273722W","48° 47’ 25.8”N","123° 16’ 25.4""W",,,,,"01/19/07 09:14:12",,,,,,0,0,0,
26,-123456805,"Piers Island, nr. Victoria","PI",3.1490000000000000e+03,,,,0,,,,,,,,"468864.401","5394776.155",,,,,,,,,,0,
27,-123456806,"Shell Island site 1, nr. Victoria","SI1",3.1490000000000000e+03,,,,0,,,,,,,,"472370.08","5390768.01",,,,,,,,,,0,
28,-123456807,"Shell Island site 2, nr. Victoria","SI2",3.1490000000000000e+03,,,,0,,,,,,,,"472456.372","5390773.638",,,,,,,,,,0,
29,-123456808,"Strawberry Island, nr. Victoria","StI",3.1490000000000000e+03,,,,0,,,,,,,,"472776.23","5390603.87",,,,,,,,,,0,
30,-123456809,"Little Shell Island, nr. Victoria","LSI",3.1490000000000000e+03,,,,0,,,,,,,,"472235.32","5390835.58",,,,,,,,,,0,
31,-123456810,"Forest Island, nr. Victoria","FI",3.1490000000000000e+03,,,,0,,,,,,,,"475896.53","5389430.87",,,,,,,,,,0,
32,-123456811,"Forest Islet #1, nr. Victoria","FI1",3.1490000000000000e+03,,,,0,,,,,,,,"476006.87","5389313.62",,,,,,,,,,0,
33,-123456812,"Forest Islet #2, nr. Victoria","FI2",3.1490000000000000e+03,,,,0,,,,,,,,"476174.86","5389166.64",,,,,,,,,,0,
34,-123456813,"Mandarte Island, nr. Victoria","MI",3.1490000000000000e+03,,,,0,,,,,,,,"478942.28","5386725.18",,,,,,,,,,0,
35,-123456814,"Little Mandarte Islet, nr. Victoria","LMI",3.1490000000000000e+03,,,,0,,,,,,,,"479316.77","5386516.22",,,,,,,,,,0,
36,-123456815,"Shell Island, nr. Victoria","SI",3.1490000000000000e+03,,,,0,,,,,,,,"472657.7","5390889.56",,,,,,,,,,0,
37,-123456816,"Mandarte Islet #13, nr. Victoria","MI13",3.1490000000000000e+03,,,,0,,,,,,,,"478771.14","5386814.13",,,,,,,,,,0,
38,-123456817,"Mandarte Islet #37, nr. Victoria","MI37",3.1490000000000000e+03,,,,0,,,,,,,,"479075.92","5386645.67",,,,,,,,,,0,
39,1632928861,"Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS",3.1490000000000000e+03,,,,0,,,"48.81885","-124.1381885","48° 49' 07.9""N","124° 08' 05.1""W",,,,,,,,,,,,,0,
