SpID,Specode,Tribe,BeeGenusID,GenusName,Subgenus,Species Group,Species,Subspecies,Questionable ID,Species Notes,Author,Date,Parentheses,Synonyms,Diet,Notes,Interest
5921,,,5,"Andrena",,,"sp. 3",,0,,,,,,,,0
5922,,,5,"Andrena",,,"sp. 2",,0,,,,,,,,0
5923,,615,80,"Nomada",,,"sp. 10",,0,,,,,,,,0
5924,,615,80,"Nomada",,,"sp. 1",,0,,,,,,,,0
5926,,,5,"Andrena","(Trachandrena)",,"sp. 1",,0,,,,,,,,0
5927,,615,80,"Nomada",,,"sp. 3",,0,,,,,,,,0
5928,,615,80,"Nomada",,,"sp. 7",,0,,,,,,,,0
5929,,615,80,"Nomada",,,"sp. 8",,0,,,,,,,,0
5930,,615,80,"Nomada",,,"sp. 9",,0,,,,,,,,0
5931,,615,80,"Nomada",,,"sp. 4",,0,,,,,,,,0
5932,,615,80,"Nomada",,,"sp. 2",,0,,,,,,,,0
5933,,615,80,"Nomada",,,"sp. 6",,0,,,,,,,,0
5934,,615,80,"Nomada",,,"sp. 11",,0,,,,,,,,0
5935,,615,80,"Nomada",,,"sp. 13",,0,,,,,,,,0
5936,,657,18,"Bombus","(Pyrobombus)",,"flavifrons","dimidiatus",0,,,,,,,,0
1,,,,,,,,,0,,,,,,,,0
2,"andrbruneri",211,5,"Andrena","(Scaphandrena)",,"bruneri",,0,,"Viereck & Cockerell","1914",,,,,0
3,"andrcapricornis",211,5,"Andrena","(Scaphandrena)",,"capricornis",,0,,"Casad & Cockerell","1896",,,,,0
4,"andrchapmanae",211,5,"Andrena","(Scaphandrena)",,"chapmanae",,0,,"Viereck","1904",,,,,0
5,"andrcruciferaru",211,5,"Andrena","(Scaphandrena)",,"cruciferarum",,0,,"Ribble","1974",,,,,0
6,"andrellisiae",211,5,"Andrena","(Scaphandrena)",,"ellisiae",,0,,"Cockerell","1914",,,,,0
7,"andrgordoni",211,5,"Andrena","(Scaphandrena)",,"gordoni",,0,,"Ribble","1974",,,,,0
8,"andrhicksi",211,5,"Andrena","(Scaphandrena)",,"hicksi",,0,,"Cockerell","1925",,,,,0
9,"andrhicksi?",211,5,"Andrena","(Scaphandrena)",,"hicksi",,1,,,,,,,,0
10,"andrkaibabensis",211,5,"Andrena","(Scaphandrena)",,"kaibabensis",,0,,"Ribble","1974",,,,,0
11,"andrlomatii",211,5,"Andrena","(Scaphandrena)",,"lomatii",,0,,"Ribble","1974",,,,,0
12,"andrmerriami",211,5,"Andrena","(Scaphandrena)",,"merriami",,0,,"Cockerell","1901",,,,,0
13,"andrmerriamspgr",211,5,"Andrena","(Scaphandrena)",,"merriami sp. group",,0,,,,,,,,0
14,"andrmohavensis",211,5,"Andrena","(Scaphandrena)",,"mohavensis",,0,,"Ribble","1974",,,,,0
15,"andrmontrosensi",211,5,"Andrena","(Scaphandrena)",,"montrosensis",,0,,"Viereck & Cockerell","1914",,,,,0
16,"andrnigerrima",211,5,"Andrena","(Scaphandrena)",,"nigerrima",,0,,"Casad","1896",,,,,0
17,"andrnigricula",211,5,"Andrena","(Scaphandrena)",,"nigricula",,0,,"LaBerge & Bouseman","1977",,,,,0
18,"andrplana",211,5,"Andrena","(Scaphandrena)",,"plana",,0,,"Viereck","1904",,,,,0
19,"andrprimulifron",211,5,"Andrena","(Micrandrena)",,"primulifrons",,0,,"Casad","1896",,,,,0
20,"andrsantaclarae",211,5,"Andrena","(Scaphandrena)",,"santaclarae",,0,,"Ribble","1974",,,,,0
21,"andrscurra",211,5,"Andrena","(Scaphandrena)",,"scurra",,0,,"Viereck","1904",,,,,0
22,"andrscurraxelli",211,5,"Andrena","(Scaphandrena)",,"scurra X ellisiae",,0,,,,,,,,0
23,"andrscurra?",211,5,"Andrena","(Scaphandrena)",,"scurra",,1,,,,,,,,0
24,"andrshoshoni",211,5,"Andrena","(Scaphandrena)",,"shoshoni",,0,,"Ribble","1974",,,,,0
25,"andrsladeni",211,5,"Andrena","(Scaphandrena)",,"sladeni",,0,,"Viereck","1924",,,,,0
26,"andrtildeni",211,5,"Andrena","(Scaphandrena)",,"tildeni",,0,,"Ribble","1974",,,,,0
27,"andrtrapezoidea",211,5,"Andrena","(Scaphandrena)",,"trapezoidea",,0,,"Viereck","1917",,,,,0
28,"andrvestali",211,5,"Andrena","(Scaphandrena)",,"vestali",,0,,"Cockerell","1913",,,,,0
29,"andrwalleyi",211,5,"Andrena","(Scaphandrena)",,"walleyi",,0,,"Cockerell","1932",,,,,0
30,"andrscoliandrsp",211,5,"Andrena","(Scoliandrena)",,"(Scoliandrena) sp.",,0,,,,,,,,0
31,"andrcryptanthae",211,5,"Andrena","(Scoliandrena)",,"cryptanthae",,0,,"Timberlake","1951",,,,,0
32,"androsmioides",211,5,"Andrena","(Scoliandrena)",,"osmioides",,0,,"Cockerell","1916",,,,,0
33,"andraquila",211,5,"Andrena","(Scrapteropsis)",,"aquila",,0,,"LaBerge","1971",,,,,0
34,"andrbiareola",211,5,"Andrena","(Scrapteropsis)",,"biareola",,0,,"LaBerge","1971",,,,,0
35,"andrilicis",211,5,"Andrena","(Scrapteropsis)",,"ilicis",,0,,"Mitchell","1960",,,,,0
36,"andrnigra",211,5,"Andrena","(Scrapteropsis)",,"nigra",,0,,"Provancher","1895",,,,,0
37,"andrphenax",211,5,"Andrena","(Scrapteropsis)",,"phenax",,0,,"Cockerell","1898",,,,,0
38,"andrdaeckei",211,5,"Andrena","(Scrapteropsis)",,"daeckei",,0,,"Viereck","1907",,,,,0
39,"andrkalmiae",211,5,"Andrena","(Scrapteropsis)",,"kalmiae",,0,,"Atwood","1934",,,,,0
40,"andrflaminea",211,5,"Andrena","(Scrapteropsis)",,"flaminea",,0,,"LaBerge","1971",,,,,0
41,"andralamonis",211,5,"Andrena","(Scrapteropsis)",,"alamonis",,0,,"Viereck","1917",,,,,0
42,"andralleghanien",211,5,"Andrena","(Scrapteropsis)",,"alleghaniensis",,0,,"Viereck","1907",,,,,0
43,"andrangusticrus",211,5,"Andrena","(Scrapteropsis)",,"angusticrus",,0,,"LaBerge","1971",,,,,0
44,"andratlantica",211,5,"Andrena","(Scrapteropsis)",,"atlantica",,0,,"Mitchell","1960",,,,,0
45,"andrbuccata",211,5,"Andrena","(Scrapteropsis)",,"buccata",,0,,"LaBerge","1971",,,,,0
46,"andrfenningeri",211,5,"Andrena","(Scrapteropsis)",,"fenningeri",,0,,"Viereck","1922",,,,,0
47,"andrimitatrix",211,5,"Andrena","(Scrapteropsis)",,"imitatrix",,0,,"Cresson","1872",,,,,0
48,"andrmorrisonell",211,5,"Andrena","(Scrapteropsis)",,"morrisonella",,0,,"Viereck","1917",,,,,0
49,"andrrubi",211,5,"Andrena","(Scrapteropsis)",,"rubi",,0,,"Mitchell","1960",,,,,0
50,"andrstipator",211,5,"Andrena","(Scrapteropsis)",,"stipator",,0,,"LaBerge","1971",,,,,0
51,"andrunicostata",211,5,"Andrena","(Scrapteropsis)",,"unicostata",,0,,"LaBerge","1971",,,,,0
52,"andrangustitars",211,5,"Andrena","(Simandrena)",,"angustitarsata",,0,,"Viereck","1904",,,,,1
53,"andrhypoleuca",211,5,"Andrena","(Simandrena)",,"hypoleuca",,0,,"Cockerell","1939",,,,,0
54,"andrnasonii",211,5,"Andrena","(Simandrena)",,"nasonii",,0,,"Robertson","1895",,,,,0
55,"androrthocarpi",211,5,"Andrena","(Simandrena)",,"orthocarpi",,0,,"Cockerell","1936",,,,,0
